"Label","Quantity","Designator"
"VRB4812ZP-6WR3 ф.†MORNSUN","1","A1"
"GeoS-5M ф.†Geostar","1","A2"
"TEMD5510FX01","1","BL1"
"APA3010P3BT","1","BL2"
"керам. Ц чип†0603 Ц NP0 Ц 50†¬ Ц 22†п‘†±†5†%","1","C1"
"керам. Ц чип†0603 Ц X7R Ц 50†¬ Ц 0,1†мк‘†±†10†%","1","C2"
"ECHU1H184GX9 ф.†Panasonic (плЄн. Ц чип†2416 Ц PPS Ц 50†¬ Ц 0,18†мк‘†±†2†%)","1","C3"
"593D476X9016C ф.†Vishay (тант. Ц чип†C Ц 16†¬ Ц 47†мк‘†±†10†%)","1","C4"
"B41858C9477M ф.†EPCOS (алюм.†эл-лит Ц рад.†18*35мм Ц 100†¬ Ц 470†мк‘†±†20†% Ц низк.†имп.)","1","C5"
"A755MS108M1CAAE012 ф.†KEMET (алюм.†полим. Ц рад.†10*12мм Ц 16†¬ Ц 1000†мк‘†±†20†%)","1","C6"
" онденсатор  58-26 Ц 2,7¬ Ц 100‘ (+50Е-20)% Ц ≈¬јя.673811.006“” ф.†јќ ЂЁлекондї (ионистор Ц рад.†20*40мм Ц 2,7†¬ Ц 100†‘†+†50†Е†-†20†%)","1","C7"
"MOC3063M (детектор нул€)","1","DA1"
"TPS561201DDC ф.†Texas Instrumentsдоп.†замена TPS562201DDC ф.†Texas Instruments (огр. тока 2ј)доп.†замена TPS563201DDC ф.†Texas Instruments (огр. тока 3ј)","1","DA2"
"LP5907MFX-3.3 ф.†Texas Instruments","1","DA3"
"SN74LVC1G126DBV ф.†Texas Instruments","1","DD1"
"SCM3725ASA ф.†MORNSUN","1","DD2"
"FK 244 13 D2 PAK ф.†Fischer Elektronik","1","ER1"
"MF-MSMF014 ф.†Bourns (самовосст. Ц чип†1812 Ц 140†мј Ц 60†¬)","1","FP1"
"0451001. ф.†Littelfuse (плавкий Ц чип†2410 Ц 1†ј Ц 0,6029†ј^2с Ц быстрый)","1","FU1"
"B72540T0400K062 ф.†TDK (варистор Ц чип†2220 Ц 68†¬ Ц 9†ƒж)","1","FV1"
"SMBJ6.5CA (супрессор Ц двунаправ. Ц 6,5†¬ Ц 600†¬т†(10/1000†мкс) Ц корпус†SMB)","1","FV2"
"SMBJ5.0A (супрессор Ц однонаправ. Ц 5†¬ Ц 600†¬т†(10/1000†мкс) Ц корпус†SMB)","1","FV3"
"GSOT05C-E3-08 (супрессор Ц корпус†SOT-23)","1","FV4"
"CDSOT23-T24CAN ф.†Bourns (супрессор Ц корпус†SOT-23)","1","FV5"
"CR 1/2 AA S PCBD ф.†VARTA","1","GB1"
"BR-2325/2HAN","1","GB2"
"CC56-12SRWA","1","HG1"
"KP-1608F3C ф.†Kingbright (инфракрасный Ц 940†нм Ц 150†град.)","1","HL1"
"KPT-1608SURCK (красный Ц 645†/†630†нм Ц 230†мкд†(20†мј) Ц 120†град.)","1","HL2"
"KPA-3010CGCK (зелЄный Ц 574†/†570†нм Ц 50†мкд†(20†мј) Ц 120†град.)","1","HL3"
"KPT-1608QBC-D (синий Ц 460†/†465†нм Ц 100†мкд†(20†мј) Ц 130†град.)","1","HL4"
"KPT-1608SYCK (жЄлтый Ц 590†нм Ц 150†мкд†(20†мј) Ц 120†град.)","1","HL5"
"XPCWHT-L1-0000-008E5 ф.†Cree (белый Ц †4000†  Ц CRI†75 Ц 73,9†лм†(350†мј))","1","HL6"
"SMP6-RGB ф.†Bivar (многоцветный)","1","HL7"
"KPBDA-3020SURKCGKC-PF ф.†Kigbright (многоцветный Ц сборка)","1","HL8"
"AM23ESGW ф.†Kingbright (многоцветный Ц сборка)","1","HL9"
"чип†0402","3","J1, J3, J5"
"RZ03-1A4-D012 ф.†TE Connectivity","1","K1"
"T9GV2L24-12 ф.†TE Connectivity","1","K2"
"RT214012 ф.†TE Connectivity","1","K3"
"V23105A5476A201 ф.†TE Connectivity","1","K4"
"10†мк√н†±†10†% Ц 250†мј","1","L1"
"SRU1048-470Y ф.†Bourns (47†мк√н†±†30†% Ц 1,5†ј)","1","L2"
"чип†0603 Ц 10†кќм†±†5†%","1","R1"
"чип†0603 Ц 47†кќм†±†0,5†% Ц ±†25†ppm/∞C","1","R2"
"RV0805JR-071ML ф.†YAGEO (чип†0805 Ц 400†¬ Ц 10†кќм†±†5†%)","1","R3"
"NCP18XQ102J03RB ф.†Murata (чип 0603 Ц 1кќм ±5%)","1","RK1"
"TFPT0805L1000FV ф.†Vishay (чип 0805 Ц 100ќм ±1%)","1","RK2"
"3006P-1-103 ф.†Bourns (10†кќм†±†10†% Ц подстроечный Ц лин. хар-ка)","1","RP1"
"CHS-01TA ф.†Copal Electronics Inc.","1","SA1"
"SWD-08L","1","SA2"
"MS-22D18 (движковый)","1","SA3"
"GPTS203211B ф.†CW Industries","1","SA4"
"SSSF012100","1","SA5"
"PN12SHNA03QE ф.†C&K","1","SA6"
"DTSM-61N ф.†Diptronics","1","SB1"
"HX1188NL ф.†Pulse (сборка)","1","T1"
"BAS316 (100†¬ Ц 250†мј Ц корпус†SOD-323)","1","VD1"
"BAT20JFILM (Ўоттки Ц 23†¬ Ц 1†ј Ц корпус†SOD-323)","1","VD2"
"BZT52H-B13 (13†¬†±†2†% Ц 830†м¬т Ц корпус†SOD-123F)","1","VD3"
"BAT54AFILM (Ўоттки Ц 40†¬ Ц 300†мј Ц корпус†SOT-23)","1","VD4"
"BAT54—FILM (Ўоттки Ц 40†¬ Ц 300†мј Ц корпус†SOT-23)","1","VD5"
"BAT54SFILM (Ўоттки Ц 40†¬ Ц 300†мј Ц корпус†SOT-23)","1","VD6"
"BTA24-600BWRG","1","VS1"
"BCR108 (бипол€рный цифровой)","1","VT1"
"IRLML2030","1","VT2"
"BC817","1","VT3"
"BCR158 (бипол€рный цифровой)","1","VT4"
"IRLML5103","1","VT5"
"BC807","1","VT6"
"LTV-357T","1","VU1"
"B4B-PH-SM4-TB","1","X1"
"5035000993 ф.†Molexдоп.†замена 5035000991","1","X2"
"292303-1 ф.†TE Connectivity (розетка)","1","XS1"
"744242220 ф.†Wurth Electronics Inc. (синф.†дроссель Ц 1,5†кќм†(100†к√ц) Ц 22†мк√н†+†50†Е†-†30†% Ц 300†мј)","1","ZC1"
"MMZ1608B102C ф.†TDK (фер.†бус. Ц чип†0603 Ц 1†кќм†±†25†%†(100†ћ√ц) Ц 300†мј)","1","ZF1"
"FY0800018 ф.†Diodes Incorporated (кварц. Ц 8†ћ√ц†±†30†ppm Ц фунд. Ц 18†п‘ Ц 100†ќм Ц -†40†Е†+†85†∞C)","1","ZQ1"
"ABS07-32.768KHZ-T ф.†Abracon (кварц. Ц 32,768†к√ц†±†20†ppm Ц 12,5†п‘ Ц 70†кќм Ц -†40†Е†+†85†∞C)","1","ZQ2"
