"ѕоз. ќбозначение","Ќаименование"," ол.","ѕримечание"
"","”стройства","",""
"A1","VRB4812ZP-6WR3 ф.†MORNSUN","1",""
"A2","GeoS-5M ф.†Geostar","1",""
"","","",""
"","ѕреобразователи неэлектрических величин","",""
"BL1","TEMD5510FX01","1",""
"BL2","APA3010P3BT","1",""
"","","",""
""," онденсаторы","",""
"C1","керам., чип†0603, NP0, 50¬, 1п‘†±0.1п‘","1",""
"C2","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","1",""
"C3","ECHU1H184GX9 ф.†Panasonic (плЄн., чип†2416, PPS, 50¬, 0.18мк‘†±2%)","1",""
"C4","GRM32EC81C476KE15 ф.†Murata (керам., чип†1210, X6S, 16¬, 47мк‘†±10%)","1",""
"C5","593D476X9016C ф.†Vishay (тант., чип†C, 16¬, 47мк‘†±10%)","1",""
"C6","B41858C9477M ф.†EPCOS (алюм.†эл-лит, рад.†18*35мм, 100¬, 470мк‘†±20%, низк.†имп.)","1","не старше 1 года"
"C7","A755MS108M1CAAE012 ф.†KEMET (алюм.†полим., рад.†10*12мм, 16¬, 1000мк‘†±20%)","1",""
"C8"," онденсатор  58-26 Ц 2,7¬ Ц 100‘ (+50Е-20)% Ц ≈¬јя.673811.006“” ф.†јќ ЂЁлекондї (ионистор, рад.†20*40мм, 2.7¬, 100‘†+50Е-20%)","1",""
"C9ЦC11","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","3",""
"C12, C13","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","2","не устанавливать"
"C14, C15","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","2",""
"C16","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","1","не устанавливать"
"","","",""
"C17ЦC19","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","9",""
"C19H","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","1","не устанавливать"
"","","",""
"C20","керам., чип†0603, X7R, 50¬, 0.22мк‘†±10%","4",""
"C20H","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","1","не устанавливать"
"C20B, C20C","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","2",""
"C20A","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","1",""
"","","",""
"C21F","керам., чип†0603, X7R, 50¬, 0.015мк‘†±10%","1",""
"C21E","керам., чип†0603, X7R, 50¬, 0.022мк‘†±10%","1",""
"C21D","керам., чип†0603, X7R, 50¬, 0.033мк‘†±10%","1",""
"C21G","керам., чип†0603, X7R, 50¬, 0.01мк‘†±10%","1",""
"C21C","керам., чип†0603, X7R, 50¬, 0.047мк‘†±10%","1",""
"C21A","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","1",""
"C21H","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","1","не устанавливать"
"C21B","керам., чип†0603, X7R, 50¬, 0.068мк‘†±10%","1",""
"","","",""
"C22ЦC24","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","21",""
"C22H","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","1","не устанавливать"
"C23H","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","1","не устанавливать"
"C24H","керам., чип†0603, X7R, 50¬, 0.1мк‘†±10%","1","не устанавливать"
"","","",""
"","ћикросхемы","",""
"DA1","MOC3063M (детектор нул€)","1",""
"DA2","TPS561201DDC ф.†Texas Instruments|доп.†замена TPS562201DDC ф.†Texas Instruments (огр. тока 2ј)|доп.†замена TPS563201DDC ф.†Texas Instruments (огр. тока 3ј)","1",""
"DA3","LP5907MFX-3.3 ф.†Texas Instruments","1",""
"DD1","SN74LVC1G126DBV ф.†Texas Instruments","1",""
"DD2","SCM3725ASA ф.†MORNSUN","1",""
"DD3","ECS-3225MV-250-CN ф.†ECS Inc. (кварц., 25ћ√ц†±25ppm, -40Е+85∞C)","1",""
"","","",""
"","Ёлементы разные","",""
"EF1","SMTSO-M2-2ET ф.†PEM (стойка, SMD, M2*0.4, 2мм)","1",""
"ER1","FK 244 13 D2 PAK ф.†Fischer Elektronik","1",""
"","","",""
"","”стройства защитные","",""
"FP1","MF-MSMF014 ф.†Bourns (самовосст., чип†1812, 140мј, 60¬)","1",""
"FU1","0451001. ф.†Littelfuse (плавкий, чип†2410, 1ј, 0.6029ј^2с, быстрый)","1",""
"FU2","ZH242 (держатель)","1",""
"FU3","ZH250 (держатель)","1",""
"FU4","ZH242 (держатель)","1",""
"FU5","ZH250 (держатель)","1",""
"FV1","B72540T0400K062 ф.†TDK (варистор, чип†2220, 68¬, 9ƒж)","1",""
"FV2","SMBJ6.5CA (супрессор, двунаправ., 6.5¬, 600¬т†[10/1000мкс], корпус†SMB)","1",""
"FV3","SMBJ5.0A (супрессор, однонаправ., 5¬, 600¬т†[10/1000мкс], корпус†SMB)","1",""
"FV4","GSOT05C-E3-08 (супрессор, корпус†SOT-23)","1",""
"FV5","CDSOT23-T24CAN ф.†Bourns (супрессор, корпус†SOT-23)","1",""
"","","",""
"","√енераторы, источники питани€","",""
"GB1","CR 1/2 AA S PCBD ф.†VARTA","1",""
"GB2","BR-2325/2HAN","1",""
"GB3","DS1092-04-B6P ф.†Connfly (держатель, , CR2032)|доп.†замена BH-25F-1 ф.†Adam Tech|доп.†замена BS-7 ф.†Memory Protection Devices","1",""
"GB4","BH-25F-1 ф.†Adam Tech (держатель, , CR2032)|доп.†замена DS1092-04-B6P ф.†Connfly|доп.†замена BS-7 ф.†Memory Protection Devices","1",""
"","","",""
"","”стройства сигнальные","",""
"HG1","CC56-12SRWA ф.†Kingbright","1",""
"HL1","KP-1608F3C ф.†Kingbright (инфракрасный, 940нм, 150град.)","1",""
"HL2","KPT-1608SURCK (красный, 645/630нм, 230мкд†[20мј], 120град.)","1",""
"HL3","KPA-3010CGCK (зелЄный, 574/570нм, 50мкд†[20мј], 120град.)","1",""
"HL4","KPT-1608QBC-D (синий, 460/465нм, 100мкд†[20мј], 130град.)","1",""
"HL5","KPT-1608SYCK (жЄлтый, 590нм, 150мкд†[20мј], 120град.)","1",""
"HL6","XPCWHT-L1-0000-008E5 ф.†Cree (белый, †4000 , CRI75, 73.9лм†[350мј])","1",""
"HL7","SMP6-RGB ф.†Bivar (многоцветный)","1",""
"HL8","KPBDA-3020SURKCGKC-PF ф.†Kigbright (многоцветный, сборка)","1",""
"HL9","AM23ESGW ф.†Kingbright (многоцветный, сборка)","1",""
"","","",""
"J1","ѕеремычка чип†0402","1",""
"","","",""
"","–еле","",""
"K1","RZ03-1A4-D012 ф.†TE Connectivity","1",""
"K2","T9GV2L24-12 ф.†TE Connectivity","1",""
"K3","RT214012 ф.†TE Connectivity","1",""
"K4","V23105A5476A201 ф.†TE Connectivity","1",""
"","","",""
""," атушки индуктивности","",""
"L1","чип†1812, 10мк√н†±10%, 250мј","1",""
