"Поз. обозначение","Наименование","Кол.","Примечание"
"","Устройства","",""
"A1","VRB4812ZP-6WR3 ф. MORNSUN","1",""
"A2","NEO-M8U ф. u-blox","1",""
"","","",""
"","Преобразователи неэлектрических величин","",""
"BL1","TEMD5510FX01","1",""
"BL2","APA3010P3BT","1",""
"","","",""
"","Конденсаторы","",""
"C1","керам., чип 0603, NP0, 50В, 1пФ ±0.1пФ","1",""
"C2","керам., чип 0603, X7R, 50В, 0.1мкФ ±10%","1",""
"C3","ECHU1H184GX9 ф. Panasonic (плён., чип 2416, PPS, 50В, 0.18мкФ ±2%)","1",""
"C4","GRM32EC81C476KE15 ф. Murata (керам., чип 1210, X6S, 16В, 47мкФ ±10%)","1",""
"C5","593D476X9016C ф. Vishay (тант., чип C, 16В, 47мкФ ±10%, низк. имп.)","1",""
"C6","B41858C9477M ф. EPCOS (алюм. эл-лит, выводной рад. 18×36, 100В, 470мкФ ±20%, низк. имп.)","1","не старше 1 года"
"C7","A755MS108M1CAAE012 ф. KEMET (алюм. полим., выводной рад. 10×12, 16В, 1000мкФ ±20%)","1",""
"C8","Конденсатор К58-26 – 2,7В – 100Ф (+50…-20)% – ЕВАЯ.673811.006ТУ ф. АО «Элеконд» (ионистор, выводной рад. 20×40, 2.7В, 100Ф -20…+50%)","1",""
"C9–C24","керам., чип 0603, X7R, 50В, 0.1мкФ ±10%","58",""
"","","",""
"","Микросхемы","",""
"DA1","MOC3063M (детектор нуля)","1",""
"DA2","TPS561201DDC ф. Texas Instruments
доп. замена TPS562201DDC ф. Texas Instruments (огр. тока 2А)
доп. замена TPS563201DDC ф. Texas Instruments (огр. тока 3А)","1",""
"DA3","LP5907MFX-3.3 ф. Texas Instruments","1",""
"DD1","SN74LVC1G126DBV ф. Texas Instruments","1",""
"DD2","SCM3725ASA ф. MORNSUN","1",""
"DD3","ECS-3225MV-250-CN ф. ECS Inc. (кварц., 25МГц ±25ppm, -40…+85°C)","1",""
"","","",""
"","Элементы разные","",""
"EF1","SMTSO-M2-2ET ф. PEM (стойка, SMD, M2*0.4, 2мм)","1",""
"ER1","FK 244 13 D2 PAK ф. Fischer Elektronik","1",""
"","","",""
"","Устройства защитные","",""
"FP1","MF-MSMF014 ф. Bourns (самовосст., 140мА, 60В)","1",""
"FU1","0451001. ф. Littelfuse (плавкий, чип 2410, 1А, 0.6029А²с, быстрый)","1",""
"FU2","ZH242 (держатель)","1",""
"FU3","ZH250 (держатель)","1",""
"FU4","ZH242 (держатель)","1",""
"FU5","ZH250 (держатель)","1",""
"FV1","SMAJ5.0A (супрессор, однонаправ., 5В, 400Вт (10/1000мкс), корпус SMA)","1",""
