Designator,BOM_type,BOM_value,BOM_description,BOM_manufacturer,BOM_explicit,BOM_substitute,BOM_note,BOM_accessory,Footprint,Quantity,Fitted,UniqueIdName,UniqueIdPath

"A1","Устройство","VRB4812ZP-6WR3","","MORNSUN","true","","","","U(V)RB_ZP-6WR3","1","Fitted","WIOLFHXS","\AJRYFSIR"
"A2","Устройство","GeoS-5M","","Geostar","true","","","","","1","Fitted","RTVOFONM","\AJRYFSIR"
"BL1","Фотодиод","TEMD5510FX01","","","true","","","","TEMD5510FX01","1","Fitted","DOKQULDI","\AJRYFSIR"
"BL2","Фототранзистор","APA3010P3BT","","","true","","","","PDT_3mm","1","Fitted","FQFBQGRR","\AJRYFSIR"
"C1","Конденсатор","CC0603BRNPO9BN1R0","керам., чип 0603, NP0, 1пФ ±0.1пФ, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","GJSAGQLH","\AJRYFSIR"
"C2","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","MFNTXGHH","\AJRYFSIR"
"C3","Конденсатор","ECHU1H184GX9","плён., чип 2416, PPS, 0.18мкФ ±2%, 50В","Panasonic","true","","","","SFCC_2416","1","Fitted","WDCROCYX","\AJRYFSIR"
"C4","Конденсатор","GRM32EC81C476KE15","керам., чип 1210, X6S, 47мкФ ±10%, 16В","Murata","true","","","","MLCC_1210","1","Fitted","HBQDALAS","\AJRYFSIR"
"C5","Конденсатор","593D476X9016C","тантал., чип C, 47мкФ ±10%, 16В","Vishay","true","","","","CCM_6032-28 (C)","1","Fitted","TIRXGHJR","\AJRYFSIR"
"C6","Конденсатор","B41858C9477M","алюм. эл-лит, рад. 18*35мм, 470мкФ ±20%, 100В, низк. имп.","EPCOS","true","","не старше 1 года","","CAP_RTH_18x36-7.5-0.8","1","Fitted","CWGYQGFV","\AJRYFSIR"
"C7","Конденсатор","A755MS108M1CAAE012","алюм. полим., рад. 10*12мм, 1000мкФ ±20%, 16В","KEMET","true","","","","CAP_RTH_10x12-5.0-0.6","1","Fitted","YFBKKKHP","\AJRYFSIR"
"C8","Конденсатор","Конденсатор К58-26 – 2,7В – 100Ф (+50…-20)% – ЕВАЯ.673811.006ТУ","ионистор, рад. 20*40мм, 100Ф +50…-20%, 2.7В","АО «Элеконд»","true","","","","CAP_RTH_20x40-10-0.8_H","1","Fitted","RNPJAKGC","\AJRYFSIR"
"C9","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VAFRNTPG","\UAOCNQIK"
"C10","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","NLQTKHTL","\UAOCNQIK"
"C11","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","APLVLQBF","\UAOCNQIK"
"C12","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","BJTOJCAI","\UAOCNQIK"
"C13","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","FCRGSWKK","\UAOCNQIK"
"C14","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","0","Not Fitted","GVHQTMSO","\UAOCNQIK"
"C15","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","0","Not Fitted","DYBCEFYO","\UAOCNQIK"
"C16","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","0","Not Fitted","KNXFNKER","\UAOCNQIK"
"C17","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","0","Not Fitted","FUMCFEKR","\UAOCNQIK"
"C18","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","0","Not Fitted","PLEYBOCQ","\UAOCNQIK"
"C19A","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYPBTSMT","\HWAQRLSS\1XVOCRVMY"
"C19B","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYPBTSMT","\HWAQRLSS\2XVOCRVMY"
"C19C","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYPBTSMT","\HWAQRLSS\3XVOCRVMY"
"C19D","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYPBTSMT","\HWAQRLSS\4XVOCRVMY"
"C19E","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYPBTSMT","\HWAQRLSS\5XVOCRVMY"
"C19F","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYPBTSMT","\HWAQRLSS\6XVOCRVMY"
"C19G","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYPBTSMT","\HWAQRLSS\7XVOCRVMY"
"C19H","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYPBTSMT","\HWAQRLSS\8XVOCRVMY"
"C20A","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","VQQPHNGO","\HWAQRLSS\1XVOCRVMY"
"C20B","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","VQQPHNGO","\HWAQRLSS\2XVOCRVMY"
"C20C","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","VQQPHNGO","\HWAQRLSS\3XVOCRVMY"
"C20D","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","VQQPHNGO","\HWAQRLSS\4XVOCRVMY"
"C20E","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","VQQPHNGO","\HWAQRLSS\5XVOCRVMY"
"C20F","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","VQQPHNGO","\HWAQRLSS\6XVOCRVMY"
"C20G","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","VQQPHNGO","\HWAQRLSS\7XVOCRVMY"
"C20H","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","VQQPHNGO","\HWAQRLSS\8XVOCRVMY"
"C21A","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","NLEGUFKK","\HWAQRLSS\1XVOCRVMY"
"C21B","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","NLEGUFKK","\HWAQRLSS\2XVOCRVMY"
"C21C","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","NLEGUFKK","\HWAQRLSS\3XVOCRVMY"
"C21D","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","NLEGUFKK","\HWAQRLSS\4XVOCRVMY"
"C21E","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","NLEGUFKK","\HWAQRLSS\5XVOCRVMY"
"C21F","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","NLEGUFKK","\HWAQRLSS\6XVOCRVMY"
"C21G","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","NLEGUFKK","\HWAQRLSS\7XVOCRVMY"
"C21H","Конденсатор","CC0603KRX7R7BB105","керам., чип 0603, X7R, 1мкФ ±10%, 16В","YAGEO","false","","","","MLCC_0603","1","Fitted","NLEGUFKK","\HWAQRLSS\8XVOCRVMY"
"C22A","Конденсатор","CC0603KRX7R9BB103","керам., чип 0603, X7R, 0.01мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYJNLARE","\HWAQRLSS\1WFVINQYM"
"C22B","Конденсатор","CC0603KRX7R9BB223","керам., чип 0603, X7R, 0.022мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYJNLARE","\HWAQRLSS\2WFVINQYM"
"C22C","Конденсатор","CC0603KRX7R9BB333","керам., чип 0603, X7R, 0.033мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYJNLARE","\HWAQRLSS\3WFVINQYM"
"C22D","Конденсатор","CC0603KRX7R9BB473","керам., чип 0603, X7R, 0.047мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYJNLARE","\HWAQRLSS\4WFVINQYM"
"C22E","Конденсатор","CC0603KRX7R9BB563","керам., чип 0603, X7R, 0.056мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYJNLARE","\HWAQRLSS\5WFVINQYM"
"C22F","Конденсатор","CC0603KRX7R9BB683","керам., чип 0603, X7R, 0.068мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYJNLARE","\HWAQRLSS\6WFVINQYM"
