"Designator","Layer","Center-X","Center-Y","Rotation","Footprint","Mount","State","Partnumber"
"A2","Top","118.0","20.0","0.0","NEO-M8","SMD","ON","NEO-M8U"
"BL1","Top","-38.8497","22.4511","0.0","TEMD5510FX01","SMD","ON","TEMD5510FX01"
"C1","Top","53.0247","-16.6698","270.0","CAP0603","SMD","ON","$CCC-0603-NP0-50V-1pF±0.1pF"
"C2","Top","82.7254","0.5502","270.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C3","Top","62.9744","-1.1999","270.0","CAP2416","SMD","ON","ECHU1H184GX9 [$CFC-2416-PPS-50V-0.18µF±2%]"
"C4","Top","39.0","1.0","270.0","CAP1210","SMD","ON","GRM32EC81C476KE15 [$CCC-1210-X6S-16V-47µF±10%]"
"C5","Top","61.0","-18.0","90.0","C-type","SMD","ON","593D476X9016C [$CTM-C-16V-47µF±10%-LESR]"
"C9","Top","-7.9503","-5.2999","270.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C10","Top","16.1746","-5.4","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C11","Top","17.1247","5.3001","270.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C14","Bottom","-20.1767","-39.1499","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C15","Bottom","1.9744","-39.1499","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C17","Bottom","-3.8225","-51.9084","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C18","Bottom","18.3286","-51.9084","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C19A","Bottom","-76.7407","11.3168","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C19B","Bottom","-76.7407","18.3922","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C19C","Bottom","-76.7407","25.4425","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C19D","Bottom","-76.7407","32.5178","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C19E","Bottom","-76.7407","39.5932","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C19F","Bottom","-76.7407","46.6685","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C19G","Bottom","-76.7407","53.7189","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C20A","Bottom","-85.3411","11.3168","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C20B","Bottom","-85.3411","18.3922","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C20C","Bottom","-85.3411","25.4425","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C20D","Bottom","-85.3411","32.5178","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.22µF±10%"
"C20E","Bottom","-85.3411","39.5932","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.22µF±10%"
"C20F","Bottom","-85.3411","46.6685","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.22µF±10%"
"C20G","Bottom","-85.3411","53.7189","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.22µF±10%"
"C21A","Bottom","-94.1915","11.3168","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C21B","Bottom","-94.1915","18.3922","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.068µF±10%"
"C21C","Bottom","-94.1915","25.4425","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.047µF±10%"
"C21D","Bottom","-94.1915","32.5178","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.033µF±10%"
"C21E","Bottom","-94.1915","39.5932","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.022µF±10%"
"C21F","Bottom","-94.1915","46.6685","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.015µF±10%"
"C21G","Bottom","-94.1915","53.7189","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.01µF±10%"
"C22A","Bottom","-101.8419","-45.261","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C22B","Bottom","-101.8419","-38.1856","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C22C","Bottom","-101.8419","-31.1103","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C22D","Bottom","-101.8419","-24.0349","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C22E","Bottom","-101.8419","-16.9596","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C22F","Bottom","-101.8419","-9.9092","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C22G","Bottom","-101.8419","-2.8339","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C23A","Bottom","-110.6923","-45.261","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C23B","Bottom","-110.6923","-38.1856","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C23C","Bottom","-110.6923","-31.1103","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C23D","Bottom","-110.6923","-24.0349","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C23E","Bottom","-110.6923","-16.9596","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C23F","Bottom","-110.6923","-9.9092","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C23G","Bottom","-110.6923","-2.8339","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C24A","Bottom","-119.5427","-45.261","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C24B","Bottom","-119.5427","-38.1856","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C24C","Bottom","-119.5427","-31.1103","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C24D","Bottom","-119.5427","-24.0349","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C24E","Bottom","-119.5427","-16.9596","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C24F","Bottom","-119.5427","-9.9092","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"C24G","Bottom","-119.5427","-2.8339","0.0","CAP0603","SMD","ON","$CCC-0603-X7R-50V-0.1µF±10%"
"DA2","Top","-14.1125","-34.735","270.0","SOT-23-6","SMD","ON","TPS561201DDC"
"DA3","Top","77.423","-16.6248","270.0","SOT-23-5","SMD","ON","LP5907MFX-3.3"
