Altium Designer Pick and Place Locations
D:\My Documents\Programming\Python\bomconverter\example\AD project\project outputs\Pick Place Output\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       09.12.25
Time:       18:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"A1","TopLayer","U(V)RB_ZP-6WR3","100.0000","-46.0000","90"
"A2","TopLayer","NEO-M8","118.0000","20.0000","0"
"BL1","TopLayer","TEMD5510FX01","-38.8497","22.4511","0"
"BL2","TopLayer","PDT_3mm","-36.0000","34.0000","0"
"C1","TopLayer","MLCC_0603","53.0247","-16.6698","0"
"C2","TopLayer","MLCC_0603","82.7254","0.5502","0"
"C3","TopLayer","SFCC_2416","62.9744","-1.1999","0"
"C4","TopLayer","MLCC_1210","39.0000","1.0000","0"
"C5","TopLayer","CCM_6032-28(C)","61.0000","-18.0000","180"
"C6","TopLayer","CAP_RTH_18x36-7.5-0.8","44.0000","22.0000","0"
"C7","TopLayer","CAP_RTH_10x12-5.0-0.6","74.5000","-4.2500","0"
"C8","TopLayer","CAP_RTH_20x40-10-0.8_H","23.8500","27.0000","180"
"C9","TopLayer","MLCC_0603","-7.9503","-5.2999","0"
"C10","TopLayer","MLCC_0603","16.1746","-5.4000","90"
"C11","TopLayer","MLCC_0603","17.1247","5.3001","0"
"C12","TopLayer","MLCC_0603","4.0503","-16.9500","90"
"C13","TopLayer","MLCC_0603","-20.4760","-16.9500","90"
"C14","BottomLayer","MLCC_0603","-20.1767","-39.1499","90"
"C15","BottomLayer","MLCC_0603","1.9744","-39.1499","90"
"C16","BottomLayer","MLCC_0603","-27.1236","-51.9084","90"
"C17","BottomLayer","MLCC_0603","-3.8225","-51.9084","90"
"C18","BottomLayer","MLCC_0603","18.3286","-51.9084","90"
"C19A","BottomLayer","MLCC_0603","-76.7407","11.3168","90"
"C20A","BottomLayer","MLCC_0603","-85.3411","11.3168","90"
"C21A","BottomLayer","MLCC_0603","-94.1915","11.3168","90"
"C22A","BottomLayer","MLCC_0603","-101.8419","-45.2610","90"
"C23A","BottomLayer","MLCC_0603","-110.6923","-45.2610","90"
"C24A","BottomLayer","MLCC_0603","-119.5427","-45.2610","90"
"C19B","BottomLayer","MLCC_0603","-76.7407","18.3922","90"
"C20B","BottomLayer","MLCC_0603","-85.3411","18.3922","90"
"C21B","BottomLayer","MLCC_0603","-94.1915","18.3922","90"
"C22B","BottomLayer","MLCC_0603","-101.8419","-38.1856","90"
"C23B","BottomLayer","MLCC_0603","-110.6923","-38.1856","90"
"C24B","BottomLayer","MLCC_0603","-119.5427","-38.1856","90"
"C19C","BottomLayer","MLCC_0603","-76.7407","25.4425","90"
"C20C","BottomLayer","MLCC_0603","-85.3411","25.4425","90"
"C21C","BottomLayer","MLCC_0603","-94.1915","25.4425","90"
"C22C","BottomLayer","MLCC_0603","-101.8419","-31.1103","90"
"C23C","BottomLayer","MLCC_0603","-110.6923","-31.1103","90"
"C24C","BottomLayer","MLCC_0603","-119.5427","-31.1103","90"
"C19D","BottomLayer","MLCC_0603","-76.7407","32.5178","90"
"C20D","BottomLayer","MLCC_0603","-85.3411","32.5178","90"
"C21D","BottomLayer","MLCC_0603","-94.1915","32.5178","90"
"C22D","BottomLayer","MLCC_0603","-101.8419","-24.0349","90"
"C23D","BottomLayer","MLCC_0603","-110.6923","-24.0349","90"
"C24D","BottomLayer","MLCC_0603","-119.5427","-24.0349","90"
"C19E","BottomLayer","MLCC_0603","-76.7407","39.5932","90"
"C20E","BottomLayer","MLCC_0603","-85.3411","39.5932","90"
"C21E","BottomLayer","MLCC_0603","-94.1915","39.5932","90"
"C22E","BottomLayer","MLCC_0603","-101.8419","-16.9596","90"
"C23E","BottomLayer","MLCC_0603","-110.6923","-16.9596","90"
"C24E","BottomLayer","MLCC_0603","-119.5427","-16.9596","90"
"C19F","BottomLayer","MLCC_0603","-76.7407","46.6685","90"
"C20F","BottomLayer","MLCC_0603","-85.3411","46.6685","90"
"C21F","BottomLayer","MLCC_0603","-94.1915","46.6685","90"
"C22F","BottomLayer","MLCC_0603","-101.8419","-9.9092","90"
"C23F","BottomLayer","MLCC_0603","-110.6923","-9.9092","90"
"C24F","BottomLayer","MLCC_0603","-119.5427","-9.9092","90"
"C19G","BottomLayer","MLCC_0603","-76.7407","53.7189","90"
"C20G","BottomLayer","MLCC_0603","-85.3411","53.7189","90"
"C21G","BottomLayer","MLCC_0603","-94.1915","53.7189","90"
"C22G","BottomLayer","MLCC_0603","-101.8419","-2.8339","90"
"C23G","BottomLayer","MLCC_0603","-110.6923","-2.8339","90"
"C24G","BottomLayer","MLCC_0603","-119.5427","-2.8339","90"
"C19H","BottomLayer","MLCC_0603","-76.7407","60.7942","90"
"C20H","BottomLayer","MLCC_0603","-85.3411","60.7942","90"
"C21H","BottomLayer","MLCC_0603","-94.1915","60.7942","90"
"C22H","BottomLayer","MLCC_0603","-101.8419","4.2415","90"
"C23H","BottomLayer","MLCC_0603","-110.6923","4.2415","90"
"C24H","BottomLayer","MLCC_0603","-119.5427","4.2415","90"
"DA1","TopLayer","DIP-6","-48.2002","20.2510","0"
"DA2","TopLayer","SOT-23-6","-14.1125","-34.7350","0"
"DA3","TopLayer","SOT-23-5","77.4230","-16.6248","0"
"DD1","TopLayer","SOT-23-5","-8.2872","-34.7350","0"
"DD2","TopLayer","SO-8","84.9484","-17.6749","0"
"DD3","TopLayer","4-SMD_3225-1.20","-54.3504","-60.6748","0"
"EF1","TopLayer","SMTSO-M2-2","-64.4495","-22.5749","0"
"ER1","TopLayer","FK244-13-D2PAK","9.0000","-55.0000","0"
"FD1","TopLayer","fiducial-circle-1.00x3.00","-125.0000","60.0000","0"
"FD2","TopLayer","fiducial-circle-1.00x3.00","-125.0000","-60.0000","0"
"FD3","TopLayer","fiducial-circle-1.00x3.00","125.0000","-60.0000","0"
"FD4","TopLayer","fiducial-circle-1.00x3.00","125.0000","60.0000","0"
"FD5","BottomLayer","fiducial-circle-1.00x3.00","-125.0000","60.0000","180"
"FD6","BottomLayer","fiducial-circle-1.00x3.00","-125.0000","-60.0000","180"
"FD7","BottomLayer","fiducial-circle-1.00x3.00","125.0000","-60.0000","180"
"FD8","BottomLayer","fiducial-circle-1.00x3.00","125.0000","60.0000","180"
"FP1","TopLayer","MF-MSMF-S1","5.8177","-28.4016","0"
"FU1","TopLayer","FUC_2410","-48.7300","-48.8500","90"
"FU2","TopLayer","ZH242","33.0000","-45.0000","90"
"FU3","TopLayer","ZH250","48.0000","-46.0000","90"
"FU4","TopLayer","ZH242","64.0000","-46.0000","90"
"FU5","TopLayer","ZH250","81.0000","-46.0000","90"
"FV1","TopLayer","DO-214AC(SMA)","-42.1047","-48.2750","90"
"FV2","TopLayer","DO-214AA(SMB)","-61.5056","-47.3499","0"
"FV3","TopLayer","VC_2220","13.7931","-29.4766","0"
"FV4","TopLayer","SOT-23","-20.4388","-35.3334","0"
"FV5","TopLayer","SOT-23","97.6740","-16.6248","0"
"GB1","TopLayer","BH-25F-1","69.0000","24.0000","90"
"GB2","TopLayer","CR1/2AA-S-PCBD","97.0000","20.0000","90"
"GB4","TopLayer","BH-25F-1","70.0000","58.0000","90"
"HG1","TopLayer","Cx56-12","-1.0000","58.0000","360"
"HL1","TopLayer","LEDC_0603-0.75","-34.0000","14.0000","90"
"HL2","TopLayer","LEDC_0603-0.75","-29.0000","36.0000","90"
"HL3","TopLayer","LEDC_3020R-1.00","-32.2744","22.9512","0"
"HL4","TopLayer","LEDC_0603-0.75","-57.0000","27.0000","90"
"HL5","TopLayer","LEDC_0603-0.75","-64.0000","37.0000","90"
"HL6","TopLayer","XP-C","-56.0000","35.0000","0"
"HL7","TopLayer","PLCC-6","-47.0000","36.0000","0"
"HL8","TopLayer","KPBDA-3020","-62.9190","1.9386","0"
"J1","TopLayer","JC_0402","-22.8920","4.4262","0"
"K1","TopLayer","RZxx-5.0","-104.5200","-61.0000","180"
"K3","TopLayer","BS-115C","-77.0000","-62.0000","90"
"L1","TopLayer","LC_1812-3.20","-35.0000","-33.0000","0"
"L2","TopLayer","SRU1048","-48.0000","-32.0000","90"
"L3","TopLayer","LC_1812-3.20","-2.1000","-6.6000","0"
"L4","TopLayer","LC_1812-3.20","24.0250","-6.0000","0"
"L5","TopLayer","LC_1812-3.20","23.7500","4.0000","0"
"L6","BottomLayer","SRU1048","22.0000","0.0000","180"
"L7","BottomLayer","SRU1048","21.0000","-16.0000","270"
"L8","BottomLayer","SRU1048","4.0000","1.0000","180"
"L9","BottomLayer","SRN6045TA","-6.4010","-41.0000","180"
"L10","BottomLayer","SRN6045TA","14.0750","-41.0000","180"
"L11","BottomLayer","SRR0604","-12.7979","-54.0085","180"
"L12","BottomLayer","SRN6045TA","9.9282","-53.7585","180"
"R1","TopLayer","RC_0603","-37.0044","-45.7998","0"
"R2","TopLayer","RC_0603","103.1743","-15.3998","0"
"R3","TopLayer","RC_0805","-22.7489","-59.9748","0"
"R4","TopLayer","RC_0402","-40.7747","-59.5998","0"
"R5","TopLayer","RC_0603","-12.2255","-5.2999","0"
"R6","TopLayer","RC_0603","11.1244","-4.6999","0"
"R7","TopLayer","RC_0603","12.8495","5.3001","0"
"R8","TopLayer","RC_0603","-1.0000","-16.2500","0"
"R9","BottomLayer","RC_0603","-27.0000","-40.0000","225"
"R10","BottomLayer","RC_0603","-13.0763","-39.2249","90"
"R11","BottomLayer","RC_0603","7.7997","-38.4499","180"
"R12","BottomLayer","RC_0603","-20.0482","-51.9834","90"
"R13","BottomLayer","RC_0603","3.2529","-51.9834","90"
"R14","BottomLayer","RC_0603","25.4040","-51.9834","90"
"R15A","BottomLayer","RC_0603","-102.4919","11.2668","90"
"R16A","BottomLayer","RC_0603","-110.7673","11.2668","90"
"R17A","BottomLayer","RC_0603","-119.0427","11.2668","90"
"R18A","BottomLayer","RC_0603","-76.4156","-45.3110","90"
"R19A","BottomLayer","RC_0603","-84.6910","-45.3110","90"
"R20A","BottomLayer","RC_0603","-92.9664","-45.3110","90"
"R15B","BottomLayer","RC_0603","-102.4919","18.3172","90"
"R16B","BottomLayer","RC_0603","-110.7673","18.3172","90"
"R17B","BottomLayer","RC_0603","-119.0427","18.3172","90"
"R18B","BottomLayer","RC_0603","-76.4156","-38.2356","90"
"R19B","BottomLayer","RC_0603","-84.6910","-38.2356","90"
"R20B","BottomLayer","RC_0603","-92.9664","-38.2356","90"
"R15C","BottomLayer","RC_0603","-102.4919","25.3925","90"
"R16C","BottomLayer","RC_0603","-110.7673","25.3925","90"
"R17C","BottomLayer","RC_0603","-119.0427","25.3925","90"
"R18C","BottomLayer","RC_0603","-76.4156","-31.1603","90"
"R19C","BottomLayer","RC_0603","-84.6910","-31.1603","90"
"R20C","BottomLayer","RC_0603","-92.9664","-31.1603","90"
"R15D","BottomLayer","RC_0603","-102.4919","32.4678","90"
"R16D","BottomLayer","RC_0603","-110.7673","32.4678","90"
"R17D","BottomLayer","RC_0603","-119.0427","32.4678","90"
"R18D","BottomLayer","RC_0603","-76.4156","-24.0849","90"
"R19D","BottomLayer","RC_0603","-84.6910","-24.0849","90"
"R20D","BottomLayer","RC_0603","-92.9664","-24.0849","90"
"R15E","BottomLayer","RC_0603","-102.4919","39.5432","90"
"R16E","BottomLayer","RC_0603","-110.7673","39.5432","90"
"R17E","BottomLayer","RC_0603","-119.0427","39.5432","90"
"R18E","BottomLayer","RC_0603","-76.4156","-17.0346","90"
"R19E","BottomLayer","RC_0603","-84.6910","-17.0346","90"
"R20E","BottomLayer","RC_0603","-92.9664","-17.0346","90"
"R15F","BottomLayer","RC_0603","-102.4919","46.6185","90"
"R16F","BottomLayer","RC_0603","-110.7673","46.6185","90"
"R17F","BottomLayer","RC_0603","-119.0427","46.6185","90"
"R18F","BottomLayer","RC_0603","-76.4156","-9.9592","90"
"R19F","BottomLayer","RC_0603","-84.6910","-9.9592","90"
"R20F","BottomLayer","RC_0603","-92.9664","-9.9592","90"
"R15G","BottomLayer","RC_0603","-102.4919","53.6689","90"
"R16G","BottomLayer","RC_0603","-110.7673","53.6689","90"
"R17G","BottomLayer","RC_0603","-119.0427","53.6689","90"
"R18G","BottomLayer","RC_0603","-76.4156","-2.8839","90"
"R19G","BottomLayer","RC_0603","-84.6910","-2.8839","90"
"R20G","BottomLayer","RC_0603","-92.9664","-2.8839","90"
"R15H","BottomLayer","RC_0603","-102.4919","60.7442","90"
"R16H","BottomLayer","RC_0603","-110.7673","60.7442","90"
"R17H","BottomLayer","RC_0603","-119.0427","60.7442","90"
"R18H","BottomLayer","RC_0603","-76.4156","4.1915","90"
"R19H","BottomLayer","RC_0603","-84.6910","4.1915","90"
"R20H","BottomLayer","RC_0603","-92.9664","4.1915","90"
"RK1","TopLayer","RC_0603","-32.3792","-46.5499","90"
"RK2","TopLayer","RC_0805","-25.6539","-46.7249","90"
"RP1","TopLayer","POT_3006P","-52.7460","55.8730","90"
"SA1","TopLayer","CHS-01A","-71.0000","59.0000","90"
"SA2","TopLayer","SWD-08","-39.0000","57.0000","0"
"SA3","TopLayer","MS-22D18","-54.3436","-0.0240","0"
"SA5","TopLayer","SSSF012100","-64.6250","59.0000","90"
"SB1","TopLayer","DTSM-61","43.0000","44.0000","180"
"T1","TopLayer","HX11xx","-27.0000","-4.0000","90"
"VD1","TopLayer","SOD-323","-55.1303","-46.0249","0"
"VD2","TopLayer","SOD-323","108.3245","-16.3748","90"
"VD3","TopLayer","SOD-123F","-17.5236","-60.1748","0"
"VD4","TopLayer","SOD-323","-35.1495","-60.7248","90"
"VD5","TopLayer","SOT-23","-10.6031","-47.0249","0"
"VD6","TopLayer","SOT-23","91.8237","-16.6248","0"
"VD7","TopLayer","SOT-23","-28.4491","-60.9998","0"
"VS2","TopLayer","TO-220AB-V","116.2700","-20.4500","0"
